"SpeciesGroup","SpeciesName","OperationYear","AreaName","SpeciesCode","CompanyCount_taxID","TotalNetWeight","TotalWholesaleValue","WholesalePricePerlb"
"sole"," English",1993,"EEZ",128,5,"14616"," 6094 "," 0.42 "
"sole"," butter",1993,"EEZ",126,3,"33112"," 18083 "," 0.55 "
"sole"," flathead",1993,"EEZ",122,34,"7978643"," 4171035 "," 0.52 "
"sole"," rex",1993,"EEZ",125,27,"7648015"," 6343092 "," 0.83 "
"sole"," rock",1993,"EEZ",123,34,"31656842"," 29510038 "," 0.93 "
"sole"," yellowfin",1993,"EEZ",127,25,"95889958"," 42145118 "," 0.44 "
"squid"," majestic",1993,"EEZ",875,3,"9722"," 1334 "," 0.14 "
"turbot"," Greenland",1993,"EEZ",134,45,"5645915"," 6963365 "," 1.23 "
"cod"," Pacific (gray)",1993,"Juneau/Yakutat",110,4,"64529"," 54751 "," 0.85 "
"crab"," Dungeness",1993,"Juneau/Yakutat",910,12,"614884"," 1188127 "," 1.93 "
"crab"," Tanner, bairdi",1993,"Juneau/Yakutat",931,6,"197722"," 689886 "," 3.49 "
"crab"," red king",1993,"Juneau/Yakutat",921,3,"12026"," 59256 "," 4.93 "
"halibut"," Pacific",1993,"Juneau/Yakutat",200,22,"2450312"," 4910414 "," 2.00 "
"lingcod","",1993,"Juneau/Yakutat",130,3,"7120"," 1848 "," 0.26 "
"rockfish"," black",1993,"Juneau/Yakutat",142,3,"1253"," 1710 "," 1.36 "
"rockfish"," quillback",1993,"Juneau/Yakutat",147,3,"1830"," 3025 "," 1.65 "
"rockfish"," rougheye",1993,"Juneau/Yakutat",151,5,"26324"," 44846 "," 1.70 "
"rockfish"," thornyhead (idiots)",1993,"Juneau/Yakutat",143,5,"50387"," 117447 "," 2.33 "
"rockfish"," yelloweye (red snapper)",1993,"Juneau/Yakutat",145,4,"19951"," 30493 "," 1.53 "
"sablefish (blackcod)","",1993,"Juneau/Yakutat",710,4,"2551553"," 7364049 "," 2.89 "
"salmon roe"," chinook",1993,"Juneau/Yakutat",401,4,"5568"," 30076 "," 5.40 "
"salmon roe"," chum",1993,"Juneau/Yakutat",405,15,"413398"," 6252300 "," 15.12 "
"salmon roe"," coho",1993,"Juneau/Yakutat",403,16,"123021"," 558907 "," 4.54 "
"salmon roe"," pink",1993,"Juneau/Yakutat",404,5,"686459"," 1800320 "," 2.62 "
"salmon roe"," sockeye",1993,"Juneau/Yakutat",402,7,"120953"," 857661 "," 7.09 "
"salmon"," chinook",1993,"Juneau/Yakutat",410,30,"373704"," 908496 "," 2.43 "
"salmon"," chum",1993,"Juneau/Yakutat",450,35,"6602958"," 4101965 "," 0.62 "
"salmon"," coho",1993,"Juneau/Yakutat",430,41,"4230155"," 8989307 "," 2.13 "
"salmon"," pink",1993,"Juneau/Yakutat",440,14,"15023606"," 16735199 "," 1.11 "
"salmon"," roe (unknown species)",1993,"Juneau/Yakutat",400,3,"1473"," 454 "," 0.31 "
"salmon"," sockeye",1993,"Juneau/Yakutat",420,33,"2799684"," 4286181 "," 1.53 "
"scallop"," weathervane",1993,"Juneau/Yakutat",850,6,"236186"," 1044575 "," 4.42 "
"shrimp"," coonstriped",1993,"Juneau/Yakutat",964,4,"1707"," 7850 "," 4.60 "
"shrimp"," spot",1993,"Juneau/Yakutat",965,9,"15797"," 88252 "," 5.59 "
"abalone"," northern (pinto)",1993,"Ketchikan/Craig",860,4,"19404"," 405288 "," 20.89 "
"crab"," Dungeness",1993,"Ketchikan/Craig",910,3,"42553"," 69721 "," 1.64 "
"halibut"," Pacific",1993,"Ketchikan/Craig",200,6,"2018845"," 3731553 "," 1.85 "
"herring"," roe on kelp",1993,"Ketchikan/Craig",231,4,"15428"," 162653 "," 10.54 "
"herring"," with sac roe",1993,"Ketchikan/Craig",234,3,"1625571"," 1330779 "," 0.82 "
"rockfish"," quillback",1993,"Ketchikan/Craig",147,3,"12721"," 11343 "," 0.89 "
"rockfish"," redbanded",1993,"Ketchikan/Craig",153,3,"1190"," 354 "," 0.30 "
"rockfish"," rougheye",1993,"Ketchikan/Craig",151,3,"18518"," 13553 "," 0.73 "
"rockfish"," thornyhead (idiots)",1993,"Ketchikan/Craig",143,4,"12346"," 24928 "," 2.02 "
"rockfish"," yelloweye (red snapper)",1993,"Ketchikan/Craig",145,3,"61553"," 74290 "," 1.21 "
"sablefish (blackcod)","",1993,"Ketchikan/Craig",710,5,"850716"," 1501512 "," 1.76 "
"salmon roe"," chinook",1993,"Ketchikan/Craig",401,7,"9746"," 30726 "," 3.15 "
"salmon roe"," chum",1993,"Ketchikan/Craig",405,11,"636356"," 5386754 "," 8.47 "
"salmon roe"," coho",1993,"Ketchikan/Craig",403,7,"32748"," 119210 "," 3.64 "
"salmon roe"," pink",1993,"Ketchikan/Craig",404,7,"1277505"," 2290338 "," 1.79 "
"salmon roe"," sockeye",1993,"Ketchikan/Craig",402,8,"91582"," 354019 "," 3.87 "
"salmon"," chinook",1993,"Ketchikan/Craig",410,14,"847903"," 2008536 "," 2.37 "
"salmon"," chum",1993,"Ketchikan/Craig",450,19,"11108140"," 8146885 "," 0.73 "
"salmon"," coho",1993,"Ketchikan/Craig",430,16,"3644450"," 7421133 "," 2.04 "
"salmon"," pink",1993,"Ketchikan/Craig",440,13,"34247630"," 36194354 "," 1.06 "
"salmon"," sockeye",1993,"Ketchikan/Craig",420,15,"5085675"," 9773832 "," 1.92 "
"sea cucumber","",1993,"Ketchikan/Craig",895,3,"166975"," 558128 "," 3.34 "
"shrimp"," spot",1993,"Ketchikan/Craig",965,4,"177903"," 933923 "," 5.25 "
"trout"," steelhead",1993,"Ketchikan/Craig",540,3,"7813"," 12791 "," 1.64 "
"cod"," Pacific (gray)",1993,"Kodiak",110,10,"21241894"," 20667285 "," 0.97 "
"crab"," Dungeness",1993,"Kodiak",910,4,"799174"," 2142733 "," 2.68 "
"crab"," Tanner, bairdi",1993,"Kodiak",931,7,"1854596"," 7492130 "," 4.04 "
"crab"," Tanner, snow (opilio)",1993,"Kodiak",932,4,"329107"," 851256 "," 2.59 "
"crab"," red king",1993,"Kodiak",921,3,"277357"," 2008125 "," 7.24 "
"halibut"," Pacific",1993,"Kodiak",200,9,"7482975"," 14777125 "," 1.97 "
"herring"," bait",1993,"Kodiak",233,3,"394170"," 145843 "," 0.37 "
"herring"," with sac roe",1993,"Kodiak",234,8,"8762375"," 7611253 "," 0.87 "
"octopus"," North Pacific",1993,"Kodiak",870,4,"85599"," 115175 "," 1.35 "
"pollock"," walleye",1993,"Kodiak",270,7,"30272311"," 37656255 "," 1.24 "
"rockfish"," black",1993,"Kodiak",142,3,"111156"," 84215 "," 0.76 "
"rockfish"," dusky",1993,"Kodiak",154,3,"2336"," 1458 "," 0.62 "
"rockfish"," northern",1993,"Kodiak",136,3,"2822"," 1843 "," 0.65 "
"rockfish"," rougheye",1993,"Kodiak",151,5,"36663"," 36477 "," 0.99 "
"rockfish"," shortraker",1993,"Kodiak",152,4,"38844"," 31324 "," 0.81 "
"rockfish"," thornyhead (idiots)",1993,"Kodiak",143,8,"171937"," 307501 "," 1.79 "
"sablefish (blackcod)","",1993,"Kodiak",710,9,"4466253"," 13810945 "," 3.09 "
"salmon roe"," chinook",1993,"Kodiak",401,9,"6963"," 22535 "," 3.24 "
"salmon roe"," chum",1993,"Kodiak",405,9,"79165"," 451837 "," 5.71 "
"salmon roe"," coho",1993,"Kodiak",403,9,"21172"," 104934 "," 4.96 "
"salmon roe"," pink",1993,"Kodiak",404,10,"2251094"," 6973377 "," 3.10 "
"salmon roe"," sockeye",1993,"Kodiak",402,10,"570517"," 3391131 "," 5.94 "
"salmon"," chinook",1993,"Kodiak",410,10,"403392"," 468114 "," 1.16 "
"salmon"," chum",1993,"Kodiak",450,12,"2356358"," 1855221 "," 0.79 "
"salmon"," coho",1993,"Kodiak",430,12,"1266245"," 1652128 "," 1.30 "
"salmon"," pink",1993,"Kodiak",440,14,"53987305"," 54930173 "," 1.02 "
"salmon"," sockeye",1993,"Kodiak",420,14,"22573825"," 53401461 "," 2.37 "
"scallop"," weathervane",1993,"Kodiak",850,6,"161285"," 845674 "," 5.24 "
"sea cucumber","",1993,"Kodiak",895,3,"57848"," 57225 "," 0.99 "
"sole"," Dover",1993,"Kodiak",124,5,"656551"," 1322401 "," 2.01 "
"sole"," flathead",1993,"Kodiak",122,6,"698330"," 938367 "," 1.34 "
"sole"," rex",1993,"Kodiak",125,6,"276128"," 554754 "," 2.01 "
"sole"," rock",1993,"Kodiak",123,6,"3451060"," 6807182 "," 1.97 "
"salmon roe"," chum",1993,"Kuskokwim",405,3,"39195"," 456628 "," 11.65 "
"salmon"," chinook",1993,"Kuskokwim",410,3,"270919"," 400279 "," 1.48 "
"salmon"," chum",1993,"Kuskokwim",450,3,"507408"," 581593 "," 1.15 "
"salmon"," coho",1993,"Kuskokwim",430,3,"3094786"," 4557670 "," 1.47 "
"salmon"," sockeye",1993,"Kuskokwim",420,3,"890652"," 1269993 "," 1.43 "
"herring"," with sac roe",1993,"Norton Sound",234,6,"7182785"," 5117646 "," 0.71 "
"cod"," Pacific (gray)",1993,"Petersburg/Wrangell",110,3,"193101"," 122507 "," 0.63 "
"crab"," Dungeness",1993,"Petersburg/Wrangell",910,8,"583154"," 1114412 "," 1.91 "
"crab"," golden (brown) king",1993,"Petersburg/Wrangell",923,3,"31410"," 171379 "," 5.46 "
"halibut"," Pacific",1993,"Petersburg/Wrangell",200,12,"4157717"," 7923927 "," 1.91 "
"rockfish"," redbanded",1993,"Petersburg/Wrangell",153,3,"5247"," 6619 "," 1.26 "
"rockfish"," thornyhead (idiots)",1993,"Petersburg/Wrangell",143,3,"14595"," 25104 "," 1.72 "
"rockfish"," yelloweye (red snapper)",1993,"Petersburg/Wrangell",145,4,"20569"," 17025 "," 0.83 "
"sablefish (blackcod)","",1993,"Petersburg/Wrangell",710,5,"3106436"," 8963828 "," 2.89 "
"salmon roe"," chinook",1993,"Petersburg/Wrangell",401,4,"3519"," 13458 "," 3.82 "
"salmon roe"," chum",1993,"Petersburg/Wrangell",405,7,"792632"," 12396372 "," 15.64 "
"salmon roe"," coho",1993,"Petersburg/Wrangell",403,6,"71488"," 451910 "," 6.32 "
"salmon roe"," pink",1993,"Petersburg/Wrangell",404,7,"1185257"," 4315110 "," 3.64 "
"salmon roe"," sockeye",1993,"Petersburg/Wrangell",402,6,"81764"," 487876 "," 5.97 "
"salmon"," chinook",1993,"Petersburg/Wrangell",410,14,"749197"," 1569590 "," 2.10 "
"salmon"," chum",1993,"Petersburg/Wrangell",450,10,"13448522"," 11222418 "," 0.83 "
"salmon"," coho",1993,"Petersburg/Wrangell",430,16,"2648933"," 4800480 "," 1.81 "
"salmon"," pink",1993,"Petersburg/Wrangell",440,10,"35098644"," 50816363 "," 1.45 "
"salmon"," sockeye",1993,"Petersburg/Wrangell",420,12,"4063927"," 10256814 "," 2.52 "
"shrimp"," coonstriped",1993,"Petersburg/Wrangell",964,13,"7119"," 15878 "," 2.23 "
"shrimp"," northern (pink)",1993,"Petersburg/Wrangell",961,4,"452683"," 1271289 "," 2.81 "
"shrimp"," sidestriped",1993,"Petersburg/Wrangell",962,3,"59905"," 145311 "," 2.43 "
"shrimp"," spot",1993,"Petersburg/Wrangell",965,20,"78738"," 408469 "," 5.19 "
"trout"," steelhead",1993,"Petersburg/Wrangell",540,3,"8194"," 12372 "," 1.51 "
"cod"," Pacific (gray)",1993,"Prince William Sound",110,4,"1467956"," 1847437 "," 1.26 "
"halibut"," Pacific",1993,"Prince William Sound",200,14,"3342510"," 6621998 "," 1.98 "
"herring"," bait",1993,"Prince William Sound",233,4,"1830625"," 766389 "," 0.42 "
"herring"," with sac roe",1993,"Prince William Sound",234,4,"2291014"," 2240399 "," 0.98 "
"rockfish"," thornyhead (idiots)",1993,"Prince William Sound",143,4,"11971"," 13544 "," 1.13 "
"sablefish (blackcod)","",1993,"Prince William Sound",710,4,"1382770"," 3673689 "," 2.66 "
"salmon roe"," chinook",1993,"Prince William Sound",401,7,"16463"," 114657 "," 6.96 "
"salmon roe"," chum",1993,"Prince William Sound",405,7,"118352"," 1709488 "," 14.44 "
"salmon roe"," coho",1993,"Prince William Sound",403,8,"175512"," 1048868 "," 5.98 "
"salmon roe"," pink",1993,"Prince William Sound",404,8,"483982"," 1684765 "," 3.48 "
"salmon roe"," sockeye",1993,"Prince William Sound",402,8,"248521"," 1725064 "," 6.94 "
"salmon"," chinook",1993,"Prince William Sound",410,9,"449947"," 1279717 "," 2.84 "
"salmon"," chum",1993,"Prince William Sound",450,9,"4442692"," 4532540 "," 1.02 "
"salmon"," coho",1993,"Prince William Sound",430,9,"2749769"," 4658191 "," 1.69 "
"salmon"," pink",1993,"Prince William Sound",440,10,"14834947"," 18074259 "," 1.22 "
"salmon"," sockeye",1993,"Prince William Sound",420,9,"7908476"," 17128744 "," 2.17 "
"scallop"," weathervane",1993,"Prince William Sound",850,3,"29328"," 141976 "," 4.84 "
"abalone"," northern (pinto)",1993,"Sitka/Pelican",860,3,"6237"," 110295 "," 17.68 "
"cod"," Pacific (gray)",1993,"Sitka/Pelican",110,3,"25749"," 34172 "," 1.33 "
"crab"," Dungeness",1993,"Sitka/Pelican",910,3,"579946"," 1681616 "," 2.90 "
"halibut"," Pacific",1993,"Sitka/Pelican",200,4,"3049982"," 6212019 "," 2.04 "
"herring"," roe on kelp",1993,"Sitka/Pelican",231,3,"17851"," 241792 "," 13.55 "
"herring"," with sac roe",1993,"Sitka/Pelican",234,4,"5300052"," 3443010 "," 0.65 "
"lingcod","",1993,"Sitka/Pelican",130,4,"21143"," 18480 "," 0.87 "
"rockfish"," thornyhead (idiots)",1993,"Sitka/Pelican",143,3,"32010"," 77351 "," 2.42 "
"rockfish"," unspecified pelagic",1993,"Sitka/Pelican",169,3,"26456"," 46414 "," 1.75 "
"sablefish (blackcod)","",1993,"Sitka/Pelican",710,3,"4737362"," 13598692 "," 2.87 "
"salmon roe"," chinook",1993,"Sitka/Pelican",401,4,"1649"," 20249 "," 12.28 "
"salmon roe"," chum",1993,"Sitka/Pelican",405,5,"178572"," 1797652 "," 10.07 "
"salmon roe"," coho",1993,"Sitka/Pelican",403,7,"13347"," 49294 "," 3.69 "
"salmon roe"," pink",1993,"Sitka/Pelican",404,3,"32265"," 104996 "," 3.25 "
"salmon"," chinook",1993,"Sitka/Pelican",410,17,"2181966"," 5744841 "," 2.63 "
"salmon"," chum",1993,"Sitka/Pelican",450,19,"4777883"," 4374152 "," 0.92 "
"salmon"," coho",1993,"Sitka/Pelican",430,19,"6084345"," 14071054 "," 2.31 "
"salmon"," pink",1993,"Sitka/Pelican",440,16,"1478736"," 1197342 "," 0.81 "
"salmon"," roe (unknown species)",1993,"Sitka/Pelican",400,3,"804"," 335 "," 0.42 "
"salmon"," sockeye",1993,"Sitka/Pelican",420,16,"85254"," 212445 "," 2.49 "
"sea cucumber","",1993,"Sitka/Pelican",895,3,"234370"," 949172 "," 4.05 "
"shrimp"," spot",1993,"Sitka/Pelican",965,9,"20581"," 108784 "," 5.29 "
"salmon roe"," chinook",1993,"Yukon",401,7,"25851"," 165908 "," 6.42 "
"salmon roe"," chum",1993,"Yukon",405,7,"24005"," 328492 "," 13.68 "
"salmon"," chinook",1993,"Yukon",410,8,"647134"," 3518742 "," 5.44 "
"salmon"," chum",1993,"Yukon",450,5,"189374"," 267394 "," 1.41 "
"salmon roe"," chinook",1994,"Alaska Peninsula",401,6,"8196"," 58294 "," 7.11 "
"salmon roe"," chum",1994,"Alaska Peninsula",405,6,"500539"," 2126799 "," 4.25 "
"salmon roe"," coho",1994,"Alaska Peninsula",403,4,"85949"," 486978 "," 5.67 "
"salmon roe"," pink",1994,"Alaska Peninsula",404,4,"842449"," 2037520 "," 2.42 "
"salmon roe"," sockeye",1994,"Alaska Peninsula",402,6,"512130"," 4367493 "," 8.53 "
"salmon"," chinook",1994,"Alaska Peninsula",410,8,"260696"," 405316 "," 1.55 "
"salmon"," chum",1994,"Alaska Peninsula",450,8,"10265053"," 8950185 "," 0.87 "
"salmon"," coho",1994,"Alaska Peninsula",430,7,"2366712"," 3874716 "," 1.64 "
"salmon"," pink",1994,"Alaska Peninsula",440,8,"19643697"," 20511256 "," 1.04 "
"salmon"," sockeye",1994,"Alaska Peninsula",420,10,"24733580"," 67718246 "," 2.74 "
"crab"," Tanner, bairdi",1994,"Bering Sea",931,12,"723943"," 6834018 "," 9.44 "
"crab"," Tanner, snow (opilio)",1994,"Bering Sea",932,34,"62751512"," 222063439 "," 3.54 "
"crab"," blue king",1994,"Bering Sea",922,11,"1256837"," 12633002 "," 10.05 "
"crab"," red king",1994,"Bering Sea",921,4,"371389"," 5270574 "," 14.19 "
"scallop"," weathervane",1994,"Bering Sea",850,4,"308150"," 1354238 "," 4.39 "
"herring"," with sac roe",1994,"Bristol Bay",234,17,"57840554"," 39217309 "," 0.68 "
"salmon roe"," chinook",1994,"Bristol Bay",401,19,"100401"," 721522 "," 7.19 "
"salmon roe"," chum",1994,"Bristol Bay",405,21,"270323"," 1541815 "," 5.70 "
"salmon roe"," coho",1994,"Bristol Bay",403,12,"65858"," 349374 "," 5.30 "
"salmon roe"," pink",1994,"Bristol Bay",404,7,"3849"," 8931 "," 2.32 "
"salmon roe"," sockeye",1994,"Bristol Bay",402,25,"3424891"," 22075962 "," 6.45 "
"salmon"," chinook",1994,"Bristol Bay",410,27,"1845396"," 3134925 "," 1.70 "
"salmon"," chum",1994,"Bristol Bay",450,30,"3409503"," 2370706 "," 0.70 "
"salmon"," coho",1994,"Bristol Bay",430,17,"1370804"," 2182479 "," 1.59 "
"salmon"," pink",1994,"Bristol Bay",440,10,"241244"," 137069 "," 0.57 "
"salmon"," sockeye",1994,"Bristol Bay",420,38,"126685888"," 321723031 "," 2.54 "
"salmon roe"," chinook",1994,"Chignik",401,3,"1331"," 5261 "," 3.95 "
"salmon roe"," chum",1994,"Chignik",405,3,"39860"," 193987 "," 4.87 "
"salmon roe"," coho",1994,"Chignik",403,3,"28990"," 163835 "," 5.65 "
"salmon roe"," pink",1994,"Chignik",404,3,"32084"," 97948 "," 3.05 "
"salmon roe"," sockeye",1994,"Chignik",402,3,"279943"," 2009846 "," 7.18 "
"salmon"," chinook",1994,"Chignik",410,3,"57947"," 72956 "," 1.26 "
"salmon"," chum",1994,"Chignik",450,3,"1334708"," 833676 "," 0.62 "
"salmon"," coho",1994,"Chignik",430,3,"1306763"," 2162675 "," 1.65 "
"salmon"," pink",1994,"Chignik",440,3,"1029242"," 565130 "," 0.55 "
"salmon"," sockeye",1994,"Chignik",420,4,"7569762"," 18070512 "," 2.39 "
"cod"," Pacific (gray)",1994,"Cook Inlet",110,7,"1512928"," 1935264 "," 1.28 "
"crab"," Tanner, bairdi",1994,"Cook Inlet",931,4,"183630"," 802719 "," 4.37 "
"halibut"," Pacific",1994,"Cook Inlet",200,21,"7514736"," 18495385 "," 2.46 "
"herring"," bait",1994,"Cook Inlet",233,3,"908868"," 369848 "," 0.41 "
"herring"," with sac roe",1994,"Cook Inlet",234,12,"4758640"," 4207648 "," 0.88 "
"octopus"," North Pacific",1994,"Cook Inlet",870,3,"11209"," 17103 "," 1.53 "
"rockfish"," China",1994,"Cook Inlet",149,3,"88"," 54 "," 0.61 "
"rockfish"," black",1994,"Cook Inlet",142,5,"479941"," 335560 "," 0.70 "
"rockfish"," dusky",1994,"Cook Inlet",154,3,"5997"," 6729 "," 1.12 "
"rockfish"," quillback",1994,"Cook Inlet",147,3,"3394"," 3558 "," 1.05 "
"rockfish"," redbanded",1994,"Cook Inlet",153,3,"9016"," 5763 "," 0.64 "
"rockfish"," rougheye",1994,"Cook Inlet",151,6,"32804"," 52364 "," 1.60 "
"rockfish"," shortraker",1994,"Cook Inlet",152,4,"10941"," 15677 "," 1.43 "
"rockfish"," thornyhead (idiots)",1994,"Cook Inlet",143,7,"30709"," 69075 "," 2.25 "
"rockfish"," yelloweye (red snapper)",1994,"Cook Inlet",145,7,"72420"," 84210 "," 1.16 "
"sablefish (blackcod)","",1994,"Cook Inlet",710,11,"5355770"," 17981815 "," 3.36 "
"salmon roe"," chinook",1994,"Cook Inlet",401,11,"33051"," 156741 "," 4.74 "
"salmon roe"," chum",1994,"Cook Inlet",405,12,"125670"," 610800 "," 4.86 "
"salmon roe"," coho",1994,"Cook Inlet",403,11,"136532"," 756145 "," 5.54 "
"salmon roe"," pink",1994,"Cook Inlet",404,11,"930686"," 2819500 "," 3.03 "
"salmon roe"," sockeye",1994,"Cook Inlet",402,13,"709653"," 4404114 "," 6.21 "
"salmon"," chinook",1994,"Cook Inlet",410,25,"781275"," 2400964 "," 3.07 "
"salmon"," chum",1994,"Cook Inlet",450,24,"3397728"," 3066464 "," 0.90 "
"salmon"," coho",1994,"Cook Inlet",430,27,"3645959"," 6855878 "," 1.88 "
"salmon"," pink",1994,"Cook Inlet",440,21,"14824433"," 17404257 "," 1.17 "
"salmon"," sockeye",1994,"Cook Inlet",420,28,"16965686"," 46332055 "," 2.73 "
"scallop"," weathervane",1994,"Cook Inlet",850,3,"287747"," 969587 "," 3.37 "
"sea cucumber","",1994,"Cook Inlet",895,3,"58535"," 253719 "," 4.33 "
"cod"," Pacific (gray)",1994,"Dutch Harbor",110,7,"24385521"," 22340462 "," 0.92 "
"crab"," Tanner, bairdi",1994,"Dutch Harbor",931,12,"3121547"," 27958709 "," 8.96 "
"crab"," Tanner, grooved (tanneri)",1994,"Dutch Harbor",933,3,"583543"," 2194954 "," 3.76 "
"crab"," Tanner, snow (opilio)",1994,"Dutch Harbor",932,11,"16649732"," 58494008 "," 3.51 "
"crab"," blue king",1994,"Dutch Harbor",922,5,"483566"," 4908808 "," 10.15 "
"crab"," golden (brown) king",1994,"Dutch Harbor",923,7,"2547830"," 18390794 "," 7.22 "
"crab"," hair",1994,"Dutch Harbor",940,6,"502558"," 3445836 "," 6.86 "
"crab"," red king",1994,"Dutch Harbor",921,9,"416554"," 5437071 "," 13.05 "
"flounder"," Alaska plaice",1994,"Dutch Harbor",133,4,"73655"," 45786 "," 0.62 "
"flounder"," arrowtooth",1994,"Dutch Harbor",121,4,"2557"," 4362 "," 1.71 "
"flounder"," general",1994,"Dutch Harbor",120,3,"71010"," 18723 "," 0.26 "
"halibut"," Pacific",1994,"Dutch Harbor",200,7,"2705093"," 6469708 "," 2.39 "
"herring"," bait",1994,"Dutch Harbor",233,5,"4115030"," 1776196 "," 0.43 "
"herring"," with sac roe",1994,"Dutch Harbor",234,4,"2281479"," 1014491 "," 0.44 "
"pollock"," walleye",1994,"Dutch Harbor",270,5,"213311475"," 216538781 "," 1.02 "
"rockfish"," thornyhead (idiots)",1994,"Dutch Harbor",143,5,"13884"," 82772 "," 5.96 "
"sablefish (blackcod)","",1994,"Dutch Harbor",710,6,"336871"," 1261312 "," 3.74 "
"sculpin"," general",1994,"Dutch Harbor",160,4,"10803"," 2256 "," 0.21 "
"skate"," general",1994,"Dutch Harbor",700,3,"2623"," 526 "," 0.20 "
"sole"," flathead",1994,"Dutch Harbor",122,3,"97334"," 41413 "," 0.43 "
"sole"," rock",1994,"Dutch Harbor",123,4,"77646"," 61665 "," 0.79 "
"sole"," yellowfin",1994,"Dutch Harbor",127,4,"5943909"," 2371723 "," 0.40 "
"turbot"," Greenland",1994,"Dutch Harbor",134,4,"1058186"," 885625 "," 0.84 "
"cod"," Pacific (gray)",1994,"EEZ",110,70,"91970895"," 74618922 "," 0.81 "
"flounder"," Alaska plaice",1994,"EEZ",133,14,"1145312"," 449240 "," 0.39 "
"flounder"," arrowtooth",1994,"EEZ",121,3,"128131"," 22737 "," 0.18 "
"flounder"," general",1994,"EEZ",120,4,"241007"," 58415 "," 0.24 "
"greenling"," Atka mackerel",1994,"EEZ",193,13,"31529399"," 14024790 "," 0.44 "
"perch"," Pacific ocean",1994,"EEZ",141,25,"5625718"," 3457915 "," 0.61 "
"pollock"," walleye",1994,"EEZ",270,31,"290088554"," 308462185 "," 1.06 "
"rockfish"," dusky",1994,"EEZ",154,3,"124185"," 34664 "," 0.28 "
"rockfish"," northern",1994,"EEZ",136,12,"3620550"," 1309582 "," 0.36 "
"rockfish"," shortraker/rougheye",1994,"EEZ",171,42,"711035"," 1434937 "," 2.02 "
"rockfish"," thornyhead (idiots)",1994,"EEZ",143,49,"504302"," 1686183 "," 3.34 "
"rockfish"," unspecified demersal",1994,"EEZ",168,16,"24250"," 35102 "," 1.45 "
"rockfish"," unspecified pelagic",1994,"EEZ",169,16,"1490020"," 899700 "," 0.60 "
"rockfish"," unspecified slope",1994,"EEZ",144,15,"213363"," 158402 "," 0.74 "
"sablefish (blackcod)","",1994,"EEZ",710,57,"6200554"," 19182316 "," 3.09 "
"sculpin"," general",1994,"EEZ",160,3,"11552"," 2012 "," 0.17 "
"skate"," general",1994,"EEZ",700,5,"45239"," 21499 "," 0.48 "
"sole"," Dover",1994,"EEZ",124,8,"859573"," 274315 "," 0.32 "
"sole"," butter",1994,"EEZ",126,4,"7738"," 4917 "," 0.64 "
"sole"," flathead",1994,"EEZ",122,24,"6772572"," 5677780 "," 0.84 "
"sole"," rex",1994,"EEZ",125,17,"5344301"," 5852917 "," 1.10 "
"sole"," rock",1994,"EEZ",123,27,"19488318"," 30123987 "," 1.55 "
"sole"," yellowfin",1994,"EEZ",127,24,"75458918"," 27643653 "," 0.37 "
"turbot"," Greenland",1994,"EEZ",134,43,"3102114"," 2790531 "," 0.90 "
"Missing Value or salmon byproducts","",1994,"Juneau/Yakutat",999,3,"7249"," 1209 "," 0.17 "
"cod"," Pacific (gray)",1994,"Juneau/Yakutat",110,3,"7495"," 5519 "," 0.74 "
"crab"," Dungeness",1994,"Juneau/Yakutat",910,10,"539167"," 1244014 "," 2.31 "
"crab"," Tanner, bairdi",1994,"Juneau/Yakutat",931,5,"407807"," 2011137 "," 4.93 "
"halibut"," Pacific",1994,"Juneau/Yakutat",200,19,"2392060"," 6726689 "," 2.81 "
"rockfish"," rougheye",1994,"Juneau/Yakutat",151,3,"17703"," 11433 "," 0.65 "
"rockfish"," yelloweye (red snapper)",1994,"Juneau/Yakutat",145,3,"17350"," 13173 "," 0.76 "
"sablefish (blackcod)","",1994,"Juneau/Yakutat",710,5,"2572731"," 7558853 "," 2.94 "
"salmon roe"," chinook",1994,"Juneau/Yakutat",401,8,"4159"," 24440 "," 5.88 "
"salmon roe"," chum",1994,"Juneau/Yakutat",405,14,"816533"," 6954834 "," 8.52 "
"salmon roe"," coho",1994,"Juneau/Yakutat",403,12,"258551"," 1331246 "," 5.15 "
"salmon roe"," pink",1994,"Juneau/Yakutat",404,7,"848287"," 2338504 "," 2.76 "
"salmon roe"," sockeye",1994,"Juneau/Yakutat",402,6,"74125"," 516979 "," 6.97 "
"salmon"," chinook",1994,"Juneau/Yakutat",410,31,"293800"," 771363 "," 2.63 "
"salmon"," chum",1994,"Juneau/Yakutat",450,30,"9696572"," 7300068 "," 0.75 "
"salmon"," coho",1994,"Juneau/Yakutat",430,36,"9420016"," 17717647 "," 1.88 "
"salmon"," pink",1994,"Juneau/Yakutat",440,16,"12757316"," 13582486 "," 1.06 "
"salmon"," sockeye",1994,"Juneau/Yakutat",420,37,"2027013"," 7362426 "," 3.63 "
"scallop"," weathervane",1994,"Juneau/Yakutat",850,6,"140362"," 540940 "," 3.85 "
"shrimp"," coonstriped",1994,"Juneau/Yakutat",964,4,"886"," 3117 "," 3.52 "
"shrimp"," spot",1994,"Juneau/Yakutat",965,7,"6574"," 34661 "," 5.27 "
"crab"," Dungeness",1994,"Ketchikan/Craig",910,3,"6433"," 15471 "," 2.40 "
"halibut"," Pacific",1994,"Ketchikan/Craig",200,10,"1103674"," 2860838 "," 2.59 "
